// Creator: RBR Ltd.
// Create time: 2026-01-12T08:45:45
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/Observation/SOMLIT/Somlit_rbr_toolbox/proc_data/rbr_maestro_profile_0_2025-10-14T10-06-15_to_2025-10-14T10-07-31.rsk opened using pyRSKtools v1.1.2.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	dissolved_o2_compensated (µmol/L) added to data table by RSK.addchannel().
//	temperature1_compensated (°C) added to data table by RSK.addchannel().
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [15.625  0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µmol/m²/s),    ph(pH_units),    chlorophyll-a(µg/L),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2025-10-14T10:07:00.000,    44.27293014526367,    16.05515665700659,    16.05954917271932,    290.7554219563802,    17.952062606811523,    9.956048011779785,    1.9008334080378215,    2.9178334871927896,    1.231066624323527,    11.75,    35.275183846566364,    25.950814560933775,    u
2025-10-14T10:06:59.000,    44.269325256347656,    16.051494446233846,    16.05799961090088,    290.891845703125,    16.87149429321289,    9.957267761230469,    1.9290001392364502,    2.9015002250671387,    1.3381500244140625,    12.0,    35.27510304519421,    25.951604911030017,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    12.25,    nan,    nan,    u
2025-10-14T10:06:58.500,    44.269500732421875,    16.050544738885947,    16.057199954986572,    291.1977233886719,    15.525145530700684,    9.957934379577637,    1.9015001058578491,    2.9020001888275146,    1.2929999828338623,    12.5,    35.275939237162014,    25.952481109875635,    u
2025-10-14T10:06:57.750,    44.26987838745117,    16.05039688112447,    16.05632495880127,    291.04766845703125,    14.358736038208008,    9.956336498260498,    1.8907500505447388,    2.907250165939331,    1.3269500136375427,    12.75,    35.276265857059784,    25.952779152312246,    u
2025-10-14T10:06:56.750,    44.269737243652344,    16.05010559083894,    16.056174278259277,    289.98170471191406,    13.85349702835083,    9.95565414428711,    1.9217500686645508,    2.9052501916885376,    1.2837749123573303,    13.0,    35.27632953616119,    25.95290136263486,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    13.25,    nan,    nan,    u
2025-10-14T10:06:56.000,    44.27033996582031,    16.050040588364936,    16.056400299072266,    289.06475830078125,    12.754822731018066,    9.956488609313965,    1.967000126838684,    2.882500171661377,    1.2719500064849854,    13.5,    35.27674312308181,    25.9532509032872,    u
2025-10-14T10:06:55.500,    44.27031326293945,    16.050409851013683,    16.056699752807617,    291.6190185546875,    12.01391315460205,    9.956578254699707,    1.8670001029968262,    2.9155001640319824,    1.3037999868392944,    13.75,    35.27626815503179,    25.952812029951474,    u
2025-10-14T10:06:54.750,    44.27150535583496,    16.051147918624338,    16.057199478149414,    291.2191467285156,    11.368958473205566,    9.955091953277588,    1.8725001215934753,    2.8877501487731934,    1.3320499658584595,    14.0,    35.2765893007116,    25.952897260019768,    u
2025-10-14T10:06:54.000,    44.27219009399414,    16.05184143059887,    16.05780029296875,    290.82000732421875,    10.45304012298584,    9.953198432922363,    1.8575000762939453,    2.9180002212524414,    1.3289499282836914,    14.25,    35.27646654993162,    25.952654200082634,    u
2025-10-14T10:06:50.500,    44.27342987060547,    16.052687377901748,    16.058186769485474,    290.58863067626953,    8.711885809898376,    9.968420505523682,    1.9668751060962677,    2.898875117301941,    1.2773374617099762,    14.5,    35.27669711302004,    25.952648370905536,    u
2025-10-14T10:06:47.200,    44.27342472076416,    16.05275378418155,    16.05861940383911,    290.6617767333984,    3.486801874637604,    9.947285318374634,    2.0195500791072845,    2.9102751493453978,    1.3942549586296082,    14.75,    35.27658811052012,    25.952553430420313,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    15.0,    nan,    nan,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    15.25,    nan,    nan,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    15.5,    nan,    nan,    u
